"V1"
"1" "217,0.976958525346"
"2" "217,0.960829493088"
"3" "217,0.968894009217"
"4" "144,0.958525345622"
"5" "144,0.944700460829"
"6" "144,0.970046082949"
"7" "144,0.957757296467"
"8" "108,0.956221198157"
"9" "108,0.947004608295"
"10" "108,0.910138248848"
"11" "108,0.956221198157"
"12" "108,0.942396313364"
"13" "86,0.942396313364"
"14" "86,0.940092165899"
"15" "86,0.944700460829"
"16" "86,0.960829493088"
"17" "86,0.944700460829"
"18" "86,0.946543778802"
"19" "72,0.956221198157"
"20" "72,0.951612903226"
"21" "72,0.947004608295"
"22" "72,0.935483870968"
"23" "72,0.960829493088"
"24" "72,0.900921658986"
"25" "72,0.942012288786"
"26" "62,0.917050691244"
"27" "62,0.956221198157"
"28" "62,0.935483870968"
"29" "62,0.887096774194"
"30" "62,0.942396313364"
"31" "62,0.933179723502"
"32" "62,0.956221198157"
"33" "62,0.932521395655"
"34" "54,0.914746543779"
"35" "54,0.960829493088"
"36" "54,0.944700460829"
"37" "54,0.940092165899"
"38" "54,0.910138248848"
"39" "54,0.94930875576"
"40" "54,0.930875576037"
"41" "54,0.951612903226"
"42" "54,0.937788018433"
"43" "48,0.956221198157"
"44" "48,0.928571428571"
"45" "48,0.923963133641"
"46" "48,0.937788018433"
"47" "48,0.914746543779"
"48" "48,0.903225806452"
"49" "48,0.882488479263"
"50" "48,0.912442396313"
"51" "48,0.94930875576"
"52" "48,0.923195084485"
"53" "43,0.956221198157"
"54" "43,0.864055299539"
"55" "43,0.937788018433"
"56" "43,0.896313364055"
"57" "43,0.880184331797"
"58" "43,0.923963133641"
"59" "43,0.935483870968"
"60" "43,0.956221198157"
"61" "43,0.935483870968"
"62" "43,0.930875576037"
"63" "43,0.921658986175"
"65" "36,0.942396313364"
"66" "36,0.944700460829"
"67" "36,0.940092165899"
"68" "36,0.956221198157"
"69" "36,0.956221198157"
"70" "36,0.903225806452"
"71" "36,0.89400921659"
"72" "36,0.947004608295"
"73" "36,0.896313364055"
"74" "36,0.875576036866"
"75" "36,0.89400921659"
"76" "36,0.877880184332"
"77" "36,0.918970814132"
"78" "33,0.921658986175"
"79" "33,0.905529953917"
"80" "33,0.940092165899"
"81" "33,0.94930875576"
"82" "33,0.956221198157"
"83" "33,0.956221198157"
"84" "33,0.875576036866"
"85" "33,0.912442396313"
"86" "33,0.889400921659"
"87" "33,0.896313364055"
"88" "33,0.956221198157"
"89" "33,0.935483870968"
"90" "33,0.956221198157"
"91" "33,0.926976249557"
"92" "31,0.956221198157"
"93" "31,0.903225806452"
"94" "31,0.933179723502"
"95" "31,0.956221198157"
"96" "31,0.944700460829"
"97" "31,0.866359447005"
"98" "31,0.942396313364"
"99" "31,0.935483870968"
"100" "31,0.963133640553"
"101" "31,0.882488479263"
"102" "31,0.94930875576"
"103" "31,0.956221198157"
"104" "31,0.956221198157"
"105" "31,0.910138248848"
"106" "31,0.932521395655"
"107" "28,0.956221198157"
"108" "28,0.940092165899"
"109" "28,0.942396313364"
"110" "28,0.923963133641"
"111" "28,0.820276497696"
"112" "28,0.956221198157"
"113" "28,0.937788018433"
"114" "28,0.956221198157"
"115" "28,0.921658986175"
"116" "28,0.930875576037"
"117" "28,0.956221198157"
"118" "28,0.921658986175"
"119" "28,0.947004608295"
"120" "28,0.956221198157"
"121" "28,0.921658986175"
"122" "28,0.932565284178"
"123" "27,0.914746543779"
"124" "27,0.891705069124"
"125" "27,0.900921658986"
"126" "27,0.956221198157"
"127" "27,0.956221198157"
"128" "27,0.947004608295"
"129" "27,0.923963133641"
"130" "27,0.942396313364"
"131" "27,0.94930875576"
"132" "27,0.905529953917"
"133" "27,0.928571428571"
"134" "27,0.956221198157"
"135" "27,0.841013824885"
"136" "27,0.866359447005"
"137" "27,0.944700460829"
"138" "27,0.956221198157"
"139" "27,0.923819124424"
"140" "25,0.956221198157"
"141" "25,0.947004608295"
"142" "25,0.905529953917"
"143" "25,0.89400921659"
"144" "25,0.956221198157"
"145" "25,0.933179723502"
"146" "25,0.880184331797"
"147" "25,0.933179723502"
"148" "25,0.912442396313"
"149" "25,0.956221198157"
"150" "25,0.926267281106"
"151" "25,0.947004608295"
"152" "25,0.947004608295"
"153" "25,0.956221198157"
"154" "25,0.956221198157"
"155" "25,0.956221198157"
"156" "25,0.933179723502"
"157" "25,0.935077256709"
"158" "24,0.956221198157"
"159" "24,0.956221198157"
"160" "24,0.930875576037"
"161" "24,0.956221198157"
"162" "24,0.935483870968"
"163" "24,0.827188940092"
"164" "24,0.933179723502"
"165" "24,0.956221198157"
"166" "24,0.926267281106"
"167" "24,0.917050691244"
"168" "24,0.933179723502"
"169" "24,0.827188940092"
"170" "24,0.951612903226"
"171" "24,0.875576036866"
"172" "24,0.942396313364"
"173" "24,0.8133640553"
"174" "24,0.91935483871"
"175" "24,0.956221198157"
"176" "24,0.917434715822"
"177" "22,0.956221198157"
"178" "22,0.956221198157"
"179" "22,0.947004608295"
"180" "22,0.956221198157"
"181" "22,0.933179723502"
"182" "22,0.933179723502"
"183" "22,0.956221198157"
"184" "22,0.808755760369"
"185" "22,0.956221198157"
"186" "22,0.956221198157"
"187" "22,0.857142857143"
"188" "22,0.841013824885"
"189" "22,0.921658986175"
"190" "22,0.930875576037"
"191" "22,0.956221198157"
"192" "22,0.903225806452"
"193" "22,0.958525345622"
"194" "22,0.956221198157"
"195" "22,0.866359447005"
"196" "22,0.923720591802"
"197" "21,0.884792626728"
"198" "21,0.942396313364"
"199" "21,0.956221198157"
"200" "21,0.956221198157"
"201" "21,0.956221198157"
"202" "21,0.956221198157"
"203" "21,0.935483870968"
"204" "21,0.956221198157"
"205" "21,0.900921658986"
"206" "21,0.866359447005"
"207" "21,0.956221198157"
"208" "21,0.928571428571"
"209" "21,0.940092165899"
"210" "21,0.956221198157"
"211" "21,0.907834101382"
"212" "21,0.956221198157"
"213" "21,0.956221198157"
"214" "21,0.905529953917"
"215" "21,0.877880184332"
"216" "21,0.831797235023"
"217" "21,0.926382488479"
"218" "20,0.933179723502"
"219" "20,0.847926267281"
"220" "20,0.956221198157"
"221" "20,0.917050691244"
"222" "20,0.900921658986"
"223" "20,0.956221198157"
"224" "20,0.956221198157"
"225" "20,0.956221198157"
"226" "20,0.903225806452"
"227" "20,0.956221198157"
"228" "20,0.831797235023"
"229" "20,0.956221198157"
"230" "20,0.956221198157"
"231" "20,0.831797235023"
"232" "20,0.956221198157"
"233" "20,0.884792626728"
"234" "20,0.933179723502"
"235" "20,0.956221198157"
"236" "20,0.956221198157"
"237" "20,0.956221198157"
"238" "20,0.960829493088"
"239" "20,0.926815887645"
"240" "19,0.956221198157"
"241" "19,0.866359447005"
"242" "19,0.831797235023"
"243" "19,0.942396313364"
"244" "19,0.841013824885"
"245" "19,0.935483870968"
"246" "19,0.900921658986"
"247" "19,0.960829493088"
"248" "19,0.900921658986"
"249" "19,0.850230414747"
"250" "19,0.937788018433"
"251" "19,0.956221198157"
"252" "19,0.866359447005"
"253" "19,0.956221198157"
"254" "19,0.956221198157"
"255" "19,0.956221198157"
"256" "19,0.774193548387"
"257" "19,0.926267281106"
"258" "19,0.928571428571"
"259" "19,0.947004608295"
"260" "19,0.933179723502"
"261" "19,0.956221198157"
"262" "19,0.91275659824"
"263" "18,0.956221198157"
"264" "18,0.956221198157"
"265" "18,0.956221198157"
"266" "18,0.956221198157"
"267" "18,0.921658986175"
"268" "18,0.928571428571"
"269" "18,0.921658986175"
"270" "18,0.900921658986"
"271" "18,0.956221198157"
"272" "18,0.850230414747"
"273" "18,0.933179723502"
"274" "18,0.847926267281"
"275" "18,0.926267281106"
"276" "18,0.956221198157"
"277" "18,0.956221198157"
"278" "18,0.891705069124"
"279" "18,0.956221198157"
"280" "18,0.86866359447"
"281" "18,0.866359447005"
"282" "18,0.866359447005"
"283" "18,0.831797235023"
"284" "18,0.956221198157"
"285" "18,0.944700460829"
"286" "18,0.917651773192"
"287" "18,0.942396313364"
"288" "18,0.884792626728"
"289" "18,0.956221198157"
"290" "18,0.956221198157"
"291" "18,0.956221198157"
"292" "18,0.921658986175"
"293" "18,0.956221198157"
"294" "18,0.956221198157"
"295" "18,0.956221198157"
"296" "18,0.956221198157"
"297" "18,0.956221198157"
"298" "18,0.891705069124"
"299" "18,0.873271889401"
"300" "18,0.8133640553"
"301" "18,0.755760368664"
"302" "18,0.956221198157"
"303" "18,0.836405529954"
"304" "18,0.921658986175"
"305" "18,0.956221198157"
"306" "18,0.891705069124"
"307" "18,0.847926267281"
"308" "18,0.956221198157"
"309" "18,0.956221198157"
"310" "18,0.956221198157"
"311" "18,0.917146697389"
"312" "17,0.850230414747"
"313" "17,0.944700460829"
"314" "17,0.956221198157"
"315" "17,0.866359447005"
"316" "17,0.956221198157"
"317" "17,0.933179723502"
"318" "17,0.824884792627"
"319" "17,0.866359447005"
"320" "17,0.947004608295"
"321" "17,0.956221198157"
"322" "17,0.933179723502"
"323" "17,0.956221198157"
"324" "17,0.956221198157"
"325" "17,0.956221198157"
"326" "17,0.836405529954"
"327" "17,0.956221198157"
"328" "17,0.956221198157"
"329" "17,0.921658986175"
"330" "17,0.889400921659"
"331" "17,0.956221198157"
"332" "17,0.866359447005"
"333" "17,0.8133640553"
"334" "17,0.956221198157"
"335" "17,0.866359447005"
"336" "17,0.926267281106"
"337" "17,0.913917050691"
"338" "16,0.960829493088"
"339" "16,0.956221198157"
"340" "16,0.900921658986"
"341" "16,0.921658986175"
"342" "16,0.944700460829"
"343" "16,0.956221198157"
"344" "16,0.956221198157"
"345" "16,0.841013824885"
"346" "16,0.790322580645"
"347" "16,0.748847926267"
"348" "16,0.956221198157"
"349" "16,0.866359447005"
"350" "16,0.956221198157"
"351" "16,0.956221198157"
"352" "16,0.866359447005"
"353" "16,0.956221198157"
"354" "16,0.956221198157"
"355" "16,0.624423963134"
"356" "16,0.841013824885"
"357" "16,0.912442396313"
"358" "16,0.781105990783"
"359" "16,0.914746543779"
"360" "16,0.917050691244"
"361" "16,0.956221198157"
"362" "16,0.956221198157"
"363" "16,0.921658986175"
"364" "16,0.896756469337"
"365" "16,0.877880184332"
"366" "16,0.877880184332"
"367" "16,0.956221198157"
"368" "16,0.956221198157"
"369" "16,0.956221198157"
"370" "16,0.859447004608"
"371" "16,0.956221198157"
"372" "16,0.94930875576"
"373" "16,0.956221198157"
"374" "16,0.956221198157"
"375" "16,0.956221198157"
"376" "16,0.866359447005"
"377" "16,0.81797235023"
"378" "16,0.921658986175"
"379" "16,0.850230414747"
"380" "16,0.896313364055"
"381" "16,0.956221198157"
"382" "16,0.764976958525"
"383" "16,0.956221198157"
"384" "16,0.956221198157"
"385" "16,0.912442396313"
"386" "16,0.824884792627"
"387" "16,0.748847926267"
"388" "16,0.751152073733"
"389" "16,0.956221198157"
"390" "16,0.956221198157"
"391" "16,0.921658986175"
"392" "16,0.900580303806"
"393" "15,0.956221198157"
"394" "15,0.933179723502"
"395" "15,0.956221198157"
"396" "15,0.834101382488"
"397" "15,0.956221198157"
"398" "15,0.956221198157"
"399" "15,0.923963133641"
"400" "15,0.956221198157"
"401" "15,0.933179723502"
"402" "15,0.847926267281"
"403" "15,0.956221198157"
"404" "15,0.956221198157"
"405" "15,0.866359447005"
"406" "15,0.838709677419"
"407" "15,0.933179723502"
"408" "15,0.956221198157"
"409" "15,0.866359447005"
"410" "15,0.866359447005"
"411" "15,0.900921658986"
"412" "15,0.956221198157"
"413" "15,0.8133640553"
"414" "15,0.866359447005"
"415" "15,0.815668202765"
"416" "15,0.933179723502"
"417" "15,0.956221198157"
"418" "15,0.758064516129"
"419" "15,0.866359447005"
"420" "15,0.933179723502"
"421" "15,0.903308097433"
"422" "14,0.873271889401"
"423" "14,0.827188940092"
"424" "14,0.956221198157"
"425" "14,0.956221198157"
"426" "14,0.933179723502"
"427" "14,0.956221198157"
"428" "14,0.956221198157"
"429" "14,0.956221198157"
"430" "14,0.866359447005"
"431" "14,0.866359447005"
"432" "14,0.866359447005"
"433" "14,0.933179723502"
"434" "14,0.956221198157"
"435" "14,0.933179723502"
"436" "14,0.956221198157"
"437" "14,0.891705069124"
"438" "14,0.956221198157"
"439" "14,0.956221198157"
"440" "14,0.896313364055"
"441" "14,0.841013824885"
"442" "14,0.635944700461"
"443" "14,0.866359447005"
"444" "14,0.956221198157"
"445" "14,0.923963133641"
"446" "14,0.866359447005"
"447" "14,0.866359447005"
"448" "14,0.898617511521"
"449" "14,0.956221198157"
"450" "14,0.831797235023"
"451" "14,0.90123947243"
"452" "14,0.956221198157"
"453" "14,0.956221198157"
"454" "14,0.956221198157"
"455" "14,0.866359447005"
"456" "14,0.866359447005"
"457" "14,0.866359447005"
"458" "14,0.859447004608"
"459" "14,0.905529953917"
"460" "14,0.866359447005"
"461" "14,0.84331797235"
"462" "14,0.956221198157"
"463" "14,0.956221198157"
"464" "14,0.956221198157"
"465" "14,0.774193548387"
"466" "14,0.956221198157"
"467" "14,0.956221198157"
"468" "14,0.912442396313"
"469" "14,0.956221198157"
"470" "14,0.891705069124"
"471" "14,0.905529953917"
"472" "14,0.956221198157"
"473" "14,0.933179723502"
"474" "14,0.921658986175"
"475" "14,0.900921658986"
"476" "14,0.956221198157"
"477" "14,0.900921658986"
"478" "14,0.956221198157"
"479" "14,0.956221198157"
"480" "14,0.866359447005"
"481" "14,0.956221198157"
"482" "14,0.915591397849"
"483" "14,0.815668202765"
"484" "14,0.956221198157"
"485" "14,0.956221198157"
"486" "14,0.78801843318"
"487" "14,0.84331797235"
"488" "14,0.801843317972"
"489" "14,0.866359447005"
"490" "14,0.956221198157"
"491" "14,0.866359447005"
"492" "14,0.956221198157"
"493" "14,0.900921658986"
"494" "14,0.956221198157"
"495" "14,0.956221198157"
"496" "14,0.956221198157"
"497" "14,0.956221198157"
"498" "14,0.956221198157"
"499" "14,0.956221198157"
"500" "14,0.956221198157"
"501" "14,0.815668202765"
"502" "14,0.866359447005"
"503" "14,0.866359447005"
"504" "14,0.956221198157"
"505" "14,0.866359447005"
"506" "14,0.956221198157"
"507" "14,0.956221198157"
"508" "14,0.877880184332"
"509" "14,0.956221198157"
"510" "14,0.8133640553"
"511" "14,0.917050691244"
"512" "14,0.933179723502"
"513" "14,0.866359447005"
"514" "14,0.904786680541"
"515" "13,0.73732718894"
"516" "13,0.935483870968"
"517" "13,0.8133640553"
"518" "13,0.866359447005"
"519" "13,0.866359447005"
"520" "13,0.956221198157"
"521" "13,0.873271889401"
"522" "13,0.900921658986"
